signal_date,execution_date,ticker,side,quantity,price,notional,cost,reason,event_type,realized_pnl
2005-01-03,2005-01-04,ADBE,buy,214.1557069752629,31.09889880624707,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,ADSK,buy,177.83402493703937,37.45068842906704,6660.006660004,6.660006660004,rebalance,rebalance,0.0
2005-01-03,2005-01-04,AET,buy,239.94165664013443,27.75677534807017,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,AMD,buy,310.0561825854962,21.479999542236328,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,BEN,buy,586.6698497684582,11.35222248532546,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,DRI,buy,500.8616922356945,13.29709730899114,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,GT,buy,499.1632369059885,13.34234207888658,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,HUM,buy,260.4252578342022,25.573581899817274,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,NSC,buy,303.0499049769118,21.976600390326475,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,NTAP,buy,278.7114610443993,23.895704306695333,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,NUE,buy,484.01180687510515,13.760008672107777,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,PCAR,buy,575.0330366936206,11.581954835670551,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,PH,buy,190.2839619216371,35.00035732253006,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,R,buy,245.6872585114819,27.107659959064396,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,UNH,buy,200.57722275924192,33.20420219397584,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-02-01,2005-02-02,ADBE,sell,58.931584231045605,29.844145164127408,1758.7627545433268,1.7587627545433269,rebalance,rebalance,-77.53609007882233
2005-02-01,2005-02-02,ADSK,sell,17.788423775745116,28.945070770699143,514.8871850881296,0.5148871850881296,rebalance,rebalance,-152.4826072830667
2005-02-01,2005-02-02,AET,sell,83.22458055973942,29.55983717930194,2460.1050506615948,2.460105050661595,rebalance,rebalance,145.28891359084432
2005-02-01,2005-02-02,AMD,sell,27.239852335089495,16.3799991607666,446.18875838817206,0.44618875838817207,rebalance,rebalance,-139.95455807421183
2005-02-01,2005-02-02,BEN,sell,169.04703385098185,11.092620124155655,1875.1745296242234,1.8751745296242235,rebalance,rebalance,-47.67924320485155
2005-02-01,2005-02-02,DRI,sell,500.8616922356945,14.287099472799394,7155.860819086003,7.155860819086003,rebalance,rebalance,482.0382916029127
2005-02-01,2005-02-02,GT,sell,499.1632369059885,14.241929054260254,7109.0474065099925,7.109047406509992,rebalance,rebalance,435.27169243947753
2005-02-01,2005-02-02,HUM,sell,108.38345613774791,30.468800030411533,3302.3138516659205,3.3023138516659207,rebalance,rebalance,524.4865924981818
2005-02-01,2005-02-02,NSC,sell,303.0499049769118,21.7104849311171,6579.360395377714,6.579360395377714,rebalance,rebalance,-93.88563168166911
2005-02-01,2005-02-02,NTAP,sell,82.4422789426709,23.602947760548883,1945.8808031444603,1.9458808031444603,rebalance,rebalance,-28.051413962826896
2005-02-01,2005-02-02,NUE,sell,484.01180687510515,15.344341125100323,7426.842273267791,7.426842273267791,rebalance,rebalance,752.7487643305191
2005-02-01,2005-02-02,PCAR,sell,575.0330366936206,10.137654344764135,5829.486162819997,5.829486162819997,rebalance,rebalance,-843.0099900068269
2005-02-01,2005-02-02,PH,sell,190.2839619216371,30.702064831315756,5842.11053527772,5.842110535277721,rebalance,rebalance,-830.3982419215612
2005-02-01,2005-02-02,R,sell,245.6872585114819,26.44011216429162,6495.9986723808925,6.4959986723808925,rebalance,rebalance,-177.16399295549277
2005-02-01,2005-02-02,UNH,sell,66.77735854482134,34.622839711772066,2312.021781272882,2.312021781272882,rebalance,rebalance,90.20355547463961
2005-02-01,2005-02-02,ADM,buy,325.99614484107457,14.210386611814513,4632.531252152751,4.632531252152751,rebalance,rebalance,0.0
2005-02-01,2005-02-02,AES,buy,519.635514410357,8.914962745395485,4632.531252152751,4.632531252152751,rebalance,rebalance,0.0
2005-02-01,2005-02-02,EBAY,buy,317.91637974446684,14.571540025324467,4632.531252152751,4.632531252152751,rebalance,rebalance,0.0
2005-02-01,2005-02-02,KBH,buy,114.32896726024047,40.51931337408118,4632.531252152751,4.632531252152751,rebalance,rebalance,0.0
2005-02-01,2005-02-02,PTC,buy,326.8099604810369,14.175000190734863,4632.531252152751,4.632531252152751,rebalance,rebalance,0.0
2005-02-01,2005-02-02,RIG,buy,113.02570316262724,40.98652892685149,4632.531252152751,4.632531252152751,rebalance,rebalance,0.0
2005-02-01,2005-02-02,TPR,buy,253.93248106132828,18.243161460837023,4632.531252152751,4.632531252152751,rebalance,rebalance,0.0
2005-03-02,2005-03-03,ADBE,sell,155.22412274421728,31.22887388139693,4847.4745525296385,4.847474552529639,rebalance,rebalance,10.500493180710667
2005-03-02,2005-03-03,ADSK,sell,160.04560116129426,29.584742966843645,4734.907973330864,4.734907973330864,rebalance,rebalance,-1269.6386961203625
2005-03-02,2005-03-03,AET,sell,156.717076080395,34.21304596996222,5361.76852821662,5.36176852821662,rebalance,rebalance,1002.0961250444888
2005-03-02,2005-03-03,AMD,sell,282.8163302504067,17.75,5019.9898619447185,5.019989861944719,rebalance,rebalance,-1065.9996668772346
2005-03-02,2005-03-03,BEN,sell,417.6228159174764,11.747339549785858,4905.957022320309,4.905957022320309,rebalance,rebalance,155.36299693343537
2005-03-02,2005-03-03,EBAY,sell,317.91637974446684,15.733255208374889,5001.859537442322,5.001859537442322,rebalance,rebalance,359.69389449997635
2005-03-02,2005-03-03,PTC,sell,326.8099604810369,14.149999618530273,4624.360816138566,4.624360816138567,rebalance,rebalance,-17.427328082475892
2005-03-02,2005-03-03,TPR,sell,253.93248106132828,18.983189020148373,4820.448286342442,4.820448286342442,rebalance,rebalance,178.46405465119608
2005-03-02,2005-03-03,UNH,sell,133.79986421442058,35.10212840499647,4696.660014225684,4.696660014225684,rebalance,rebalance,244.8028915644231
2005-03-02,2005-03-03,ADM,buy,123.99634010226549,14.460993056564897,1793.1102132583208,1.7931102132583208,rebalance,rebalance,0.0
